OBJECTID,REF_CODE,THEME,NAME,STATUS,MEASURE,GRIDREF,LABEL,HYPERLINK,Shape__Area,Shape__Length,GlobalID
1,1421814,country parks,BEACON WOOD,Known as a Country Park,27.65,TQ589717,BEACON WOOD (Country Park),,276542.281661987,2581.31934724283,5fbf9e87-ac9d-4194-a797-e711c49c7a0c
2,1421815,country parks,BEDFONT LAKES,Known as a Country Park,90.73,TQ080725,BEDFONT LAKES (Country Park),GSP003596,907274.685203552,5825.42780058541,770655fd-f75a-47de-a061-609abe1a9e43
3,1443022,country parks,ALLENSFORD,Known as a Country Park,5.73,NZ079502,ALLENSFORD (Country Park),,57258.4759521484,1313.24961754123,ad13590e-02e1-4714-ad0f-4e2930f4f348
4,1421800,country parks,ANGLERS,Known as a Country Park,63.98,SE378159,ANGLERS (Country Park),GSP001597,639790.217514038,3586.53674958546,c3969d00-e6b4-433b-aee4-7d9c4f7101c1
5,1443043,country parks,APEDALE COMMUNITY,Known as a Country Park,150.86,SJ818486,APEDALE COMMUNITY (Country Park),,1508613.80340576,14894.9242897834,76ca3d15-6d0d-479f-8006-a9737c424140
6,1421801,country parks,ARROW,Known as a Country Park,223.01,SP059672,ARROW (Country Park),GSP001392,2230080.42469025,19761.7804761783,cda066da-a937-48a2-b2aa-74537c4c6371
7,1421802,country parks,ARROWE,Known as a Country Park,100.82,SJ269863,ARROWE (Country Park),,1008223.94581604,6212.03300482704,344d5144-8f7e-4398-88c6-80faa206cebd
8,1421803,country parks,ASHTON COURT,Known as a Country Park,302.3,ST552720,ASHTON COURT (Country Park),GSP003371,3022963.39210892,12685.9100602162,cff1b286-3fb3-41e3-a333-ac06dc3aea14
9,1420352,country parks,ALDENHAM,Known as a Country Park,74.79,TQ168956,ALDENHAM (Country Park),,747869.925704956,3919.77934398098,e0eca8d6-5f25-4ffa-969e-bb7ea24295d6
10,1421804,country parks,ASTBURY MERE,Known as a Country Park,6.71,SJ848626,ASTBURY MERE (Country Park),GSP001218,67121.5442657471,1653.85389955122,c64d41ac-034a-437d-81e2-bd2d72c578d7
11,1420353,country parks,AVON HEATH,Known as a Country Park,206.11,SU130036,AVON HEATH (Country Park),GSP001909,2061116.59217072,12631.2350260594,ac2a2434-d284-4618-a09d-9657071226ec
12,1421805,country parks,BAGGERIDGE,Known as a Country Park,56.26,SO897927,BAGGERIDGE (Country Park),GSP001267,562613.524162292,5907.50971521632,764233e8-aa67-4b9b-becc-52dcb1f7b4a1
13,1443044,country parks,BAGWORTH HEATH WOODS,Known as a Country Park,11.53,SK441085,BAGWORTH HEATH WOODS (Country Park),,115297.385780334,1421.10867658845,4cd85d0b-215a-4872-a7b3-7f4f6e93b92d
14,1442738,country parks,BARBURY CASTLE,Known as a Country Park,53.02,SU152764,BARBURY CASTLE (Country Park),,530207.424194336,3692.14215274,3310dfec-c71f-48bb-9e17-31a149c1395c
15,1442970,country parks,BARDSEA,Known as a Country Park,70.65,SD301742,BARDSEA (Country Park),,706529.443115234,8891.99169770627,3c32c165-8505-4fe4-8fca-9eaa8c3bc2ba
16,1421806,country parks,BARNWELL,Known as a Country Park,15.24,TL035873,BARNWELL (Country Park),GSP001056,152377.364212036,1859.53442689178,f6cc72c6-8270-4d93-819a-8068a2b0532c
17,1443164,country parks,BARTON'S POINT,Known as a Country Park,36.12,TQ937745,BARTON'S POINT (Country Park),,361169.104675293,3278.60233773751,a403bcd4-c9e0-4154-9108-04e808bbf7b0
18,1421807,country parks,BARTON FARM,Known as a Country Park,8.1,ST814603,BARTON FARM (Country Park),,81007.4395446777,3319.84972673057,127ffefb-6aa3-4bb3-8927-86cfed84162d
19,1421808,country parks,BATTLEFIELD OF BOSWORTH,Known as a Country Park,23.2,SK399000,BATTLEFIELD OF BOSWORTH (Country Park),,231952.342834473,10694.7197575699,614b9eb0-ef7d-4bc3-a0e6-563e49a2f5d9
20,1421811,country parks,BEACON FELL,Known as a Country Park,110.16,SD568427,BEACON FELL (Country Park),,1101564.77893066,5205.43117404512,a0005875-7d08-4bb1-94f7-cbf59afb569b
21,1421813,country parks,BEACON PARK,Known as a Country Park,145.13,SD504066,BEACON PARK (Country Park),GSP001201,1451344.96153259,7644.66699491004,387a8ea3-31f1-4ab7-bed1-f12374f4d513
22,1451139,country parks,BEAM VALLEY,Known as a Country Park,59.18,TQ506850,BEAM VALLEY (Country Park),,591837.677436829,9380.34864513982,6f5426b6-c19a-4cd0-8cd1-3ea0516b0be7
23,1421816,country parks,BEDLINGTON,Known as a Country Park,54.89,NZ263807,BEDLINGTON (Country Park),,548910.672775269,14360.3968559191,0f322420-ad93-41b8-b653-01fb090748d4
24,1421817,country parks,BELHUS WOODS,Known as a Country Park,229.2,TQ566824,BELHUS WOODS (Country Park),GSP001040,2292008.66766357,10875.5856398646,824156fb-b83a-4a43-a712-bf01c5645c05
25,1421809,country parks,BAYHURST WOOD,Known as a Country Park,36.32,TQ068889,BAYHURST WOOD (Country Park),,363212.526412964,3289.16071353405,83442093-ab7e-4a20-86f2-3a7ade257a79
26,1421812,country parks,BEACON HILL,Known as a Country Park,124.14,SK512147,BEACON HILL (Country Park),GSP002030,1241418.5062561,6022.0995755807,4ff958d7-9aa9-4fec-baa0-bc5a21db1848
27,1442971,country parks,BERRY HEAD,Known as a Country Park,42.29,SX941564,BERRY HEAD (Country Park),,422931.230922699,3920.50589269717,145f85e3-4f0c-4a63-b189-4c46a07206e1
28,1421819,country parks,BIDDULPH GRANGE,Known as a Country Park,29.72,SJ898591,BIDDULPH GRANGE (Country Park),,297227.134719849,3438.50079255959,dff312d3-8cad-48d4-a169-9ba2eff70417
29,1451109,country parks,BIDSTON HILL,Known as a Country Park,49.62,SJ288895,BIDSTON HILL (Country Park),,496203.453300476,6364.69293626598,53b62f84-2bd5-405e-b3d9-fd2a728199a6
30,1460672,country parks,BLACKWATER RAIL TRAIL,Known as a Country Park,4.71,TL825138,BLACKWATER RAIL TRAIL (Country Park),,47057.7256164551,4966.21569260646,1d8d8f83-1ea0-4557-8f2f-f90cf81fcf89
31,1443159,country parks,BLAISE CASTLE ESTATE,Known as a Country Park,157.44,ST552779,BLAISE CASTLE ESTATE (Country Park),GSP002187,1574441.19908142,15389.4173357632,02f2c736-7831-4dab-a5c0-71d6f49c8920
32,1421824,country parks,BOLAM LAKE,Known as a Country Park,36.92,NZ079819,BOLAM LAKE (Country Park),,369158.607452393,2751.66720610159,39dc7765-4eb3-4ad9-8fac-7bc4e9ce3965
33,1421825,country parks,BOX HILL,Known as a Country Park,265.31,TQ180519,BOX HILL (Country Park),,2653105.21498108,9797.39590546813,12d1402f-9dba-443b-83ef-edde6ff3f238
34,1442972,country parks,BRADGATE PARK AND SWITHLAND WOODS,Known as a Country Park,502.51,SK532109,BRADGATE PARK AND SWITHLAND WOODS (Country Park),,5025062.56539917,15468.0249241948,20984653-6823-4cab-b407-361adca7b541
35,1421826,country parks,BRANDON,Known as a Country Park,15.23,TL785851,BRANDON (Country Park),GSP002104,152261.154220581,1854.48720151503,54bf968e-4a7d-473b-922d-4f060e0c73e6
36,1442740,country parks,BRANSTON WATER PARK,Known as a Country Park,23.85,SK215207,BRANSTON WATER PARK (Country Park),GSP001120,238541.841644287,2501.33267394373,6ab6c832-949e-4ede-81c5-b4478714ca0e
37,1443058,country parks,BURROUGH HILL,Known as a Country Park,37.92,SK762121,BURROUGH HILL (Country Park),,379157.602432251,3926.74374069746,badf5594-c0db-4da6-9fef-20382344c1b0
38,1442732,country parks,BURRS,Known as a Country Park,30.35,SD798126,BURRS (Country Park),GSP001003,303479.493133545,3731.08622854321,0edcf266-5a80-45ed-bcf5-72d332bca0a6
39,1442976,country parks,BURTON CONSTABLE,Known as a Country Park,75.02,TA186362,BURTON CONSTABLE (Country Park),,750203.891815186,4058.74975125562,d8a35dd0-7f93-455c-a796-470f66c3e477
40,1442977,country parks,BURTON DASSETT,Known as a Country Park,39.79,SP396520,BURTON DASSETT (Country Park),,397900.570632935,2736.71131144002,fbe8cd42-ee6a-4da2-81cf-f672b59c569b
41,1421837,country parks,BUXTON AND POOLE'S CAVERN,Known as a Country Park,41.28,SK050722,BUXTON AND POOLE'S CAVERN (Country Park),,412812.490097046,5650.37054158427,18fc4a90-0932-4045-aa4a-bcfc6af10a75
42,1443049,country parks,CALDY VALLEY NATURE PARK,Known as a Country Park,10.48,SJ423650,CALDY VALLEY NATURE PARK (Country Park),,104801.946296692,2941.22915099979,8c3866f7-1c26-48ea-b86c-5ac4d9c6007b
43,1442979,country parks,CANNOCK CHASE,Known as a Country Park,966.19,SJ985184,CANNOCK CHASE (Country Park),,9661862.68943787,30424.2286916128,6c699701-cffe-4bf3-bfb0-6a0891bc8b2b
44,1421840,country parks,CAPSTONE FARM,Known as a Country Park,84.57,TQ779647,CAPSTONE FARM (Country Park),,845695.699020386,5602.0483493475,a1d33782-e5bd-4cf0-b85a-a7af05f8bc7c
45,1442978,country parks,CALIFORNIA,Known as a Country Park,39.35,SU785651,CALIFORNIA (Country Park),,393488.408805847,4941.04579869042,e01d591f-c476-4c85-8052-026fafc2e91c
46,1421838,country parks,CALSHOT SPIT,Known as a Country Park,20.26,SU478008,CALSHOT SPIT (Country Park),,202624.141426086,2805.23939304469,6cc8c77f-04ad-46d9-8f71-5c26430f46ad
47,1421827,country parks,BRERETON HEATH,Known as a Country Park,33.8,SJ797651,BRERETON HEATH (Country Park),GSP001579,338003.344512939,2423.25872139541,dbd536b2-cb18-4962-9d27-e24f7ac15f1b
48,1421828,country parks,BRETTON,Known as a Country Park,39.66,SE289127,BRETTON (Country Park),,396597.421279907,3909.91119187374,6f6981d6-4359-4afc-a41b-27e4ad1764c2
49,1421829,country parks,BRICKFIELDS,Known as a Country Park,3.19,SU866495,BRICKFIELDS (Country Park),,31943.1342468262,1173.21995709826,e1d10f42-a400-4c86-bf20-f08d8d4ad1fe
50,1442973,country parks,BRIERLY FOREST PARK,Known as a Country Park,75.26,SK479598,BRIERLY FOREST PARK (Country Park),GSP000999,752599.636672974,5366.57117346004,3b08f418-0c26-4781-8d3c-93cfdb8daebc
51,1442974,country parks,BRIMHAM ROCKS,Known as a Country Park,156.63,SE212647,BRIMHAM ROCKS (Country Park),,1566305.31330872,6296.49994753127,18c38cf1-3228-4a63-a05b-097ebdc7ad58
52,1421830,country parks,BRIXWORTH,Known as a Country Park,13.28,SP756698,BRIXWORTH (Country Park),GSP001000,132757.146247864,2447.57161525583,f0906bce-5a2d-4aa6-bab6-9aa6b6c3f701
53,1442975,country parks,BROADWAY TOWER,Known as a Country Park,15.29,SP112360,BROADWAY TOWER (Country Park),,152887.161514282,2751.39161659711,1dadcda8-b217-469c-8b62-fe04fdf3db8e
54,1421831,country parks,BROCKHILL,Known as a Country Park,22.53,TR148356,BROCKHILL (Country Park),GSP001550,225287.67338562,3264.66389685067,a9c23014-07eb-4c96-81ab-dad314e8e61e
55,1421832,country parks,BROCKS HILL,Known as a Country Park,27.8,SP619996,BROCKS HILL (Country Park),GSP001501,277964.76713562,2312.19162905155,9c2f2363-56cd-466b-b43e-9d331df20f57
56,1443048,country parks,BROOMBRIGGS FARM,Known as a Country Park,68.04,SK521138,BROOMBRIGGS FARM (Country Park),,680422.38583374,5943.6171312708,bd9e2595-dfc6-486e-bdbd-1167ac09f2ea
57,1421834,country parks,BUCHAN,Known as a Country Park,73.04,TQ242341,BUCHAN (Country Park),,730417.858528137,3740.18923112322,14ec47e2-d6e5-4426-b5ba-c6326a832958
58,1421835,country parks,BURBAGE COMMON AND WOODS,Known as a Country Park,84.68,SP449947,BURBAGE COMMON AND WOODS (Country Park),,846797.694374084,6450.8759804438,2beb94a0-3b4a-4a5f-bb9a-83297ded95f9
59,1421836,country parks,BURNTSTUMP,Known as a Country Park,24.19,SK578506,BURNTSTUMP (Country Park),,241869.097839355,2940.57613786447,9b0267ad-f3d4-4080-aa13-e8114f72f7c0
60,1475226,country parks,BILL QUAY COMMUNITY FARM,Accredited,10.28,NZ293626,BILL QUAY COMMUNITY FARM (Country Park),,102815.061660767,1528.41957244026,20b081f0-25c7-4f6d-8935-53af5f41d20d
61,1421820,country parks,BILLINGHAM BECK VALLEY,Known as a Country Park,70.99,NZ453223,BILLINGHAM BECK VALLEY (Country Park),GSP001135,709930.922042847,12566.7486457004,6f4b0ed0-e6ba-462e-bfd0-3f06bca63a8a
62,1421821,country parks,BISHOPS WOOD,Known as a Country Park,42.23,TQ068919,BISHOPS WOOD (Country Park),,422290.841720581,3816.04488941944,f401c7cc-76fa-425c-981f-da92b4fe281b
63,1421822,country parks,BLACK PARK,Known as a Country Park,213.1,TQ010835,BLACK PARK (Country Park),GSP001349,2130969.24176025,7115.55434979352,ee0d033b-af18-439c-9abb-d63f05373308
64,1421823,country parks,BLACKLEACH,Known as a Country Park,28.69,SD739040,BLACKLEACH (Country Park),GSP001151,286948.450790405,3669.52816700569,930c70b5-70b7-4742-beca-fc336fddc419
65,1460674,country parks,WEELSBY WOODS,Known as a Country Park,51.57,TA285073,WEELSBY WOODS (Country Park),,515726.485733032,3872.92741565504,7c425609-c035-4057-b91c-13f1e48824b6
66,1460675,country parks,BESTWOOD,Known as a Country Park,207.61,SK559472,BESTWOOD (Country Park),,2076109.25151062,19398.4462721735,f5f75d53-8e0d-43e9-b6b6-441aba69cc35
67,1442739,country parks,BROKERSWOOD,Known as a Country Park,32.05,ST838526,BROKERSWOOD (Country Park),,320518.15945816,2891.46935082852,cf4e9e37-f4e9-499d-8c48-a31b73a18760
68,1443071,country parks,CROWBOROUGH,Known as a Country Park,7.33,TQ529299,CROWBOROUGH (Country Park),,73319.262008667,1483.49490073234,93290de5-eadd-471c-81d0-2bc18401050d
69,1442714,country parks,CROWN LAKES,Known as a Country Park,34.55,TL194944,CROWN LAKES (Country Park),,345523.591506958,2686.00637927856,870968a7-14ac-4590-a257-6bb534b1ce02
70,1421853,country parks,CROXTETH HALL,Known as a Country Park,221.76,SJ408943,CROXTETH HALL (Country Park),GSP001595,2217628.0306015,13719.3215877227,a775c32f-a77d-4643-9686-5acd71a27950
71,1421854,country parks,CUDMORE GROVE,Accredited,12.72,TM066146,CUDMORE GROVE (Country Park),GSP001500,127205.669296265,1826.93952604569,6282cee7-fa27-4c91-b2b5-f593085a9f71
72,1443054,country parks,CUERDEN VALLEY PARK,Known as a Country Park,240.42,SD569233,CUERDEN VALLEY PARK (Country Park),GSP003078,2404241.28556824,20350.0735545035,133bab3b-ef9c-4d4a-9566-2189820ebf3b
73,1421855,country parks,CUSWORTH PARK,Known as a Country Park,21.45,SE547038,CUSWORTH PARK (Country Park),GSP001902,214536.712722778,3208.03471072842,d6038a38-9dcd-44d8-afa7-1323d49b4b2c
74,1421856,country parks,DAISY NOOK,Known as a Country Park,40.7,SD922009,DAISY NOOK (Country Park),,406985.073638916,6969.79836668845,b1401144-bbc6-429c-8dc0-e2bc3e7d9cf6
75,1442983,country parks,DALEMAIN,Known as a Country Park,33.79,NY477270,DALEMAIN (Country Park),,337948.293579102,3005.02953673947,ab0e7a56-7eb4-45fd-bb5f-f26325743f64
76,1443050,country parks,CAMPSALL,Known as a Country Park,39.78,SE548136,CAMPSALL (Country Park),,397775.429473877,4043.54603293444,357110f1-3f23-4e09-bf08-832eeb130d70
77,1421839,country parks,CANNON HALL PARK,Known as a Country Park,34.9,SE274081,CANNON HALL PARK (Country Park),,349007.674972534,3126.6975016645,b0a551ed-fa56-4ff6-ad85-c3629a6b6a33
78,1443034,country parks,CANVEY HEIGHTS,Known as a Country Park,56.87,TQ821849,CANVEY HEIGHTS (Country Park),,568685.28679657,5377.5220191443,b4a44b6e-6a11-4cb8-b2df-a55e377d006b
79,1443051,country parks,CARNER,Known as a Country Park,18.15,TQ653670,CARNER (Country Park),,181515.608894348,2349.75732079828,846b4d85-3a1b-4d8d-afdd-685cc427fec8
80,1442947,country parks,CATTON PARK,Known as a Country Park,28.49,TG230118,CATTON PARK (Country Park),,284924.535690308,2955.92142679273,55a9ccec-02ec-478f-b69a-5195d05c8829
81,1460793,country parks,CHADKIRK ESTATE,Accredited,29.32,SJ939899,CHADKIRK ESTATE (Country Park),,293233.447296143,3872.15922063922,78a266bb-5d73-471c-9cb2-bba81b9f5243
82,1421841,country parks,CHASEWATER,Known as a Country Park,308.65,SK035079,CHASEWATER (Country Park),,3086516.20669556,8997.93125945021,3c7d463a-2e9a-48ed-9439-596231199761
83,1442944,country parks,CHURCH MARSHES,Known as a Country Park,53.47,TQ914653,CHURCH MARSHES (Country Park),,534741.557518005,7130.4609460305,728fdf0f-0ba6-4475-9b9c-3649c18e2145
84,1421842,country parks,CLARE CASTLE,Known as a Country Park,10.15,TL771452,CLARE CASTLE (Country Park),,101480.740936279,2543.89673511141,85dacc26-28b3-4308-b528-1dbc67c23364
85,1442745,country parks,CLEETHORPES,Known as a Country Park,61.48,TA306067,CLEETHORPES (Country Park),,614776.80557251,4545.59597070698,703ec453-a3d5-4454-8446-d2e15823b68e
86,1442980,country parks,CLENT HILLS,Known as a Country Park,150.55,SO934799,CLENT HILLS (Country Park),,1505524.91955566,13575.7734683737,5d0d579a-323e-4f94-a27e-f7c15b414c1b
87,1421843,country parks,CLIFTON,Known as a Country Park,48.87,SD774040,CLIFTON (Country Park),GSP001369,488682.43862915,6816.87844287822,6de0efa5-0262-4c0b-a31f-a7f96c30f1fa
88,1421844,country parks,CLUMBER,Known as a Country Park,1533.84,SK629751,CLUMBER (Country Park),,15338373.5762177,16171.7341587372,4f4e7f5c-ca2a-4ed9-b559-70e914b84fee
89,1421845,country parks,COATE WATER,Known as a Country Park,87.78,SU176821,COATE WATER (Country Park),GSP001165,877823.722679138,6982.58997976692,d5654f33-d3f7-4309-8191-5dd938667173
90,1421846,country parks,COCKINGTON,Known as a Country Park,139.34,SX890639,COCKINGTON (Country Park),GSP000884,1393375.46101952,8987.08401124636,ec915c1a-23b6-4d2f-926c-cb44b21f49cd
91,1442981,country parks,COLWICK,Known as a Country Park,97.79,SK607393,COLWICK (Country Park),,977878.213012695,5944.83141190143,5be3b325-7c65-404f-8fb6-23a6d251a9a2
92,1451098,country parks,CONSALL NATURE PARK,Known as a Country Park,102.14,SJ995481,CONSALL NATURE PARK (Country Park),,1021385.73529053,12274.4112741756,1657d863-669d-4e23-bc83-cfa3dae5cb54
93,1421848,country parks,COOMBE ABBEY,Accredited,153.56,SP394794,COOMBE ABBEY (Country Park),GSP001562,1535644.41222382,8175.07649259127,70df86a9-8c0e-406f-bca8-0676514fb4cb
94,1421847,country parks,COLEMERE,Known as a Country Park,61.33,SJ433331,COLEMERE (Country Park),GSP003540,613327.990585327,4341.2875245579,5ec36bc1-c0de-458f-a2ec-d9dab6a9504b
95,1443053,country parks,COTGRAVE,Known as a Country Park,66.82,SK647363,COTGRAVE (Country Park),,668204.470748901,7423.83676929532,4809aafa-c064-4ce6-88f5-39bce8ec7648
96,1442713,country parks,COTON,Known as a Country Park,112.64,TL414579,COTON (Country Park),,1126395.7872467,6741.74000179753,c80533cc-59d4-44cd-b5a2-6076ca0135af
97,1421849,country parks,COWPEN BEWLEY WOODLAND PARK,Known as a Country Park,103.12,NZ478253,COWPEN BEWLEY WOODLAND PARK (Country Park),GSP001136,1031155.25228882,13472.556964321,aa9140cb-4320-41ad-9727-29018da0cefd
98,1442982,country parks,CRAGSIDE,Known as a Country Park,405.98,NU077021,CRAGSIDE (Country Park),,4059801.26263428,10696.4759746146,33982faa-e154-4caa-b31c-d0611106a6f6
99,1421850,country parks,CRANFORD COUNTRYSIDE PARK,Known as a Country Park,42.13,TQ099778,CRANFORD COUNTRYSIDE PARK (Country Park),GSP003600,421320.982383728,3511.7065525421,5c2eb61d-e608-4e6e-a5f3-5ac4a9f0863c
100,1421852,country parks,CRICKLEY HILL,Known as a Country Park,57.48,SO931163,CRICKLEY HILL (Country Park),,574758.380584717,4101.52138490173,829fedb7-3b7d-4fc0-9fc0-61ab33c90820
101,1421857,country parks,DANBURY,Known as a Country Park,21.45,TL769048,DANBURY (Country Park),,214533.814430237,2704.94203394065,5b6ce61f-6662-43ae-bb4c-380679e2b16f
102,1421858,country parks,DARENTH,Known as a Country Park,32.7,TQ566725,DARENTH (Country Park),,326985.988479614,2268.67369796038,39d8a9ab-21d9-4e17-b48b-b7a8429e4728
103,1442984,country parks,DAVENTRY,Accredited,67.49,SP578637,DAVENTRY (Country Park),GSP000910,674899.727897644,3641.93247635699,8dc4e268-13d0-4fdc-ab96-95b1615bf0ad
